x,y,z,pose_json,contact_area,grasp_width,score,pair_num,edge_num,point_num
-12.983509473377573,-14.219917261720518,-0.6227014181634807,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",142.13690724554016,30.999276966208736,0.3765795335407751,1,1,11
-16.581783425775793,-14.33017498911456,-0.6390659237288947,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",124.56471943388959,30.999276966208736,0.3123905334884972,1,1,12
-20.180057378174016,-14.440432716508603,-0.6554304292943085,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",95.16068599153408,30.999276966208736,0.2081719143782865,1,1,13
-23.77833133057223,-14.550690443902646,-0.6717949348597223,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",65.22481669979518,30.999276966208736,0.10183878106882455,1,1,14
1.2988313065189552,-10.182709747753524,-0.4337640315164489,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",201.5647522731828,30.999276966208736,0.59365531327828,1,1,15
-2.299442645879263,-10.292967475147568,-0.45012853708186285,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",204.13429876121484,30.999276966208736,0.6016627484445413,1,1,16
-5.89771659827748,-10.403225202541607,-0.4664930426472767,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",206.76393159401226,30.999276966208736,0.6075496412025627,1,1,17
-9.495990550675701,-10.513482929935652,-0.4828575482126906,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",209.39356441774112,30.999276966208736,0.6118005794614167,1,1,18
-13.094264503073918,-10.623740657329693,-0.4992220537781045,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",206.2169072478381,30.999276966208736,0.5956483773761154,1,1,19
-16.69253845547214,-10.733998384723737,-0.5155865593435185,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",187.33522282563973,30.999276966208736,0.5264180897203034,1,1,20
